id,popularity,budget,revenue,original_title,director,runtime,genres,vote_count,vote_average,release_year
135397,32.985763,150000000,1513528810,jurassic world,colin trevorrow,124,action|adventure|science fiction|thriller,5562,6.5,2015
76341,28.419936,150000000,378436354,mad max: fury road,george miller,120,action|adventure|science fiction|thriller,6185,7.1,2015
262500,13.112507,110000000,295238201,insurgent,robert schwentke,119,adventure|science fiction|thriller,2480,6.3,2015
140607,11.173104,200000000,2068178225,star wars: the force awakens,j.j. abrams,136,action|adventure|science fiction|fantasy,5292,7.5,2015
168259,9.335014,190000000,1506249360,furious 7,james wan,137,action|crime|thriller,2947,7.3,2015
281957,9.1107,135000000,532950503,the revenant,alejandro gonzã¡lez iã±ã¡rritu,156,western|drama|adventure|thriller,3929,7.2,2015
87101,8.654359,155000000,440603537,terminator genisys,alan taylor,125,science fiction|action|thriller|adventure,2598,5.8,2015
286217,7.6674,108000000,595380321,the martian,ridley scott,141,drama|adventure|science fiction,4572,7.6,2015
211672,7.40416499999999,74000000,1156730962,minions,kyle balda|pierre coffin,91,family|animation|adventure|comedy,2893,6.5,2015
150540,6.326804,175000000,853708609,inside out,pete docter,94,comedy|animation|family,3935,8.0,2015
206647,6.200282,245000000,880674609,spectre,sam mendes,148,action|adventure|crime,3254,6.2,2015
76757,6.189369,176000003,183987723,jupiter ascending,lana wachowski|lilly wachowski,124,science fiction|fantasy|action|adventure,1937,5.2,2015
264660,6.118847,15000000,36869414,ex machina,alex garland,108,drama|science fiction,2854,7.6,2015
257344,5.984995,88000000,243637091,pixels,chris columbus,105,action|comedy|science fiction,1575,5.8,2015
99861,5.944927,280000000,1405035767,avengers: age of ultron,joss whedon,141,action|adventure|science fiction,4304,7.4,2015
273248,5.8984,44000000,155760117,the hateful eight,quentin tarantino,167,crime|drama|mystery|western,2389,7.4,2015
260346,5.749758,48000000,325771424,taken 3,olivier megaton,109,crime|action|thriller,1578,6.1,2015
102899,5.573184,130000000,518602163,ant-man,peyton reed,115,science fiction|action|adventure,3779,7.0,2015
150689,5.556818,95000000,542351353,cinderella,kenneth branagh,112,romance|fantasy|family|drama,1495,6.8,2015
131634,5.476958,160000000,650523427,the hunger games: mockingjay - part 2,francis lawrence,136,war|adventure|science fiction,2380,6.5,2015
158852,5.462138,190000000,209035668,tomorrowland,brad bird,130,action|family|science fiction|adventure|mystery,1899,6.2,2015
307081,5.337064,30000000,91709827,southpaw,antoine fuqua,123,action|drama,1386,7.3,2015
254128,4.907832,110000000,470490832,san andreas,brad peyton,114,action|drama|thriller,2060,6.1,2015
216015,4.71040199999999,40000000,569651467,fifty shades of grey,sam taylor-johnson,125,drama|romance,1865,5.3,2015
318846,4.648046,28000000,133346506,the big short,adam mckay,130,comedy|drama,1545,7.3,2015
177677,4.566713,150000000,682330139,mission: impossible - rogue nation,christopher mcquarrie,131,action,2349,7.1,2015
214756,4.564549,68000000,215863606,ted 2,seth macfarlane,115,comedy,1666,6.3,2015
207703,4.503789,81000000,403802136,kingsman: the secret service,matthew vaughn,130,crime|comedy|action|adventure,3833,7.6,2015
314365,4.062293,20000000,88346473,spotlight,tom mccarthy,128,drama|thriller|history,1559,7.8,2015
294254,3.968891,61000000,311256926,maze runner: the scorch trials,wes ball,132,action|science fiction|thriller,1849,6.4,2015
280996,3.927333,11000000,29355203,mr. holmes,bill condon,103,mystery|drama,425,6.4,2015
198184,3.899557,49000000,102069268,chappie,neill blomkamp,120,crime|action|science fiction,1990,6.6,2015
254470,3.877764,29000000,287506194,pitch perfect 2,elizabeth banks,115,comedy|music,1264,6.8,2015
296098,3.64821,40000000,162610473,bridge of spies,steven spielberg,141,thriller|drama,1638,7.1,2015
257445,3.644541,58000000,150170815,goosebumps,rob letterman,103,adventure|horror|comedy,600,6.2,2015
264644,3.557846,6000000,35401758,room,lenny abrahamson,117,drama|thriller,1520,8.0,2015
339527,3.358321,1800000,22354572,solace,afonso poyart,101,crime|drama|mystery,474,6.2,2015
105864,3.339135,175000000,331926147,the good dinosaur,peter sohn,93,adventure|animation|comedy|family|fantasy,1087,6.6,2015
241554,3.23737,50000000,71561644,run all night,jaume collet-serra,114,action|crime|drama|mystery|thriller,814,6.3,2015
167073,3.227329,11000000,62076141,brooklyn,john crowley,111,drama|romance,754,7.3,2015
277216,3.202719,28000000,201634991,straight outta compton,f. gary gray,147,drama|music,918,7.7,2015
274854,3.080505,90000000,140396650,the last witch hunter,breck eisner,106,fantasy|action|adventure,879,5.6,2015
321697,3.079522,30000000,34441873,steve jobs,danny boyle,122,history|drama,1035,6.9,2015
203801,3.053421,75000000,108145109,the man from u.n.c.l.e.,guy ritchie,116,comedy|action|adventure,1548,7.0,2015
293863,3.025852,25000000,42629776,the age of adaline,lee toland krieger,112,fantasy|drama|romance,1221,7.3,2015
325348,3.023253,10000000,14333790,hardcore henry,ilya naishuller,97,action|adventure|science fiction,396,5.9,2015
228161,2.976436,135000000,368871007,home,tim johnson,94,fantasy|comedy|animation|science fiction|family,1060,6.9,2015
286565,2.968254,12000000,85512300,paper towns,jake schreier,109,drama|mystery|romance,1252,6.2,2015
265208,2.93234,30000000,610986,wild card,simon west,92,thriller|crime|drama,481,5.3,2015
254320,2.885126,4000000,9064511,the lobster,yorgos lanthimos,118,thriller|comedy|drama|romance|science fiction,638,6.6,2015
258480,2.883233,11800000,40272135,carol,todd haynes,118,romance|drama,562,7.1,2015
257211,2.814802,35000000,194564672,the intern,nancy meyers,121,comedy,1255,7.1,2015
253412,2.798017,55000000,203427584,everest,baltasar kormã¡kur,121,adventure|drama,1172,6.7,2015
274479,2.793297,60000000,101134059,joy,david o. russell,124,comedy|drama,1001,6.4,2015
257088,2.614499,105000000,133718711,point break,ericson core,114,action|crime|thriller,505,5.5,2015
295964,2.584264,20000000,36606743,burnt,john wells,100,drama,631,6.3,2015
238615,2.578919,26000000,30523226,self/less,tarsem singh,116,science fiction|mystery|thriller,719,6.2,2015
210860,2.575711,60000000,30418560,mortdecai,david koepp,106,comedy|adventure,696,5.3,2015
306819,2.557859,15000000,64191523,the danish girl,tom hooper,120,drama,867,7.3,2015
201088,2.550747,70000000,17752940,blackhat,michael mann,133,mystery|crime|action|thriller|drama,584,5.0,2015
273481,2.487849,30000000,84025816,sicario,denis villeneuve,121,action|crime|drama|mystery|thriller,1479,7.1,2015
166424,2.487042,120000001,167977596,fantastic four,josh trank,100,action|adventure|science fiction,1565,4.4,2015
310131,2.46449,3500000,40423945,the witch,robert eggers,92,mystery|horror,700,5.8,2015
238713,2.404473,65000000,235666219,spy,paul feig,120,action|comedy|crime,1840,6.9,2015
256591,2.395366,50100000,153962963,focus,glenn ficarra|john requa,105,romance|comedy|crime|drama,1831,6.7,2015
249070,2.354654,35000000,82347656,hitman: agent 47,aleksander bach,96,action|crime|thriller,820,5.5,2015
205775,2.345821,100000000,93820758,in the heart of the sea,ron howard,122,thriller|drama|adventure|action|history,805,6.4,2015
334074,2.331636,20000000,610986,survivor,james mcteigue,96,crime|thriller|action,280,5.4,2015
312221,2.331567,35000000,137935567,creed,ryan coogler,133,drama,1171,7.3,2015
271718,2.31767,35000000,140795793,trainwreck,judd apatow,125,comedy,849,6.1,2015
333352,2.29573,13000000,32848185,eye in the sky,gavin hood,102,drama|thriller|war,265,7.2,2015
276907,2.28135,25000000,42972994,legend,brian helgeland,131,crime|thriller,619,6.7,2015
284289,2.272044,1800000,45895,beyond the reach,jean-baptiste lã©onetti,95,thriller,81,5.5,2015
266647,2.234573,150000000,128388320,pan,joe wright,111,adventure|family|fantasy,586,5.9,2015
347096,2.165433,1800000,610986,mythica: the darkspore,anne k. black,108,action|adventure|fantasy,27,5.1,2015
308369,2.141506,1800000,610986,me and earl and the dying girl,alfonso gomez-rejon,105,comedy|drama,569,7.7,2015
227973,2.140199,99000000,246233113,the peanuts movie,steve martino,88,adventure|animation|comedy|family,414,6.4,2015
321741,2.121884,35000000,48623572,concussion,peter landesman,123,drama,500,6.9,2015
296100,2.096273,25000000,52395996,the night before,jonathan levine,100,comedy,363,6.1,2015
263472,2.080935,2500000,5214043,knock knock,eli roth,99,drama|horror|thriller,473,4.8,2015
228205,2.070708,34000000,63013281,the longest ride,"george tillman, jr.",128,romance|drama,711,7.3,2015
159824,2.060162,80000000,466183544,hotel transylvania 2,genndy tartakovsky,89,animation|comedy|family,919,6.8,2015
333348,2.055572,17000000,24000000,love the coopers,jessie nelson,107,family|comedy,111,5.3,2015
285783,2.049886,35000000,61181942,the walk,robert zemeckis,123,adventure|drama|thriller,706,6.8,2015
290764,2.026651,11000000,1863315,tracers,daniel benmayor,94,action|crime|drama,326,5.9,2015
296099,2.000338,31000000,104384188,vacation,john francis daley|jonathan m. goldstein,99,adventure|comedy,846,6.1,2015
243688,1.984529,35000000,95437994,poltergeist,gil kenan,93,horror|thriller,589,5.0,2015
287424,1.980039,4000000,187112,maggie,henry hobson,95,horror,384,5.1,2015
301875,1.959765,16000000,2000000,equals,drake doremus,101,drama|romance|science fiction,135,5.6,2015
181283,1.95632,50000000,3324330,child 44,daniel espinosa,137,crime|thriller,341,5.9,2015
328425,1.926739,5000000,58978653,the gift,joel edgerton,108,thriller|mystery,631,6.6,2015
274167,1.904898,50000000,240360392,daddy's home,sean anders,96,comedy,568,5.7,2015
370687,1.876037,1800000,610986,mythica: the necromancer,a. todd smith,93,fantasy|action|adventure,11,5.4,2015
307663,1.872696,10000000,610986,vice,brian a miller,96,thriller|science fiction|action|adventure,181,4.1,2015
